date,song,singer,streams,url_list,Company,Duration,Gender,Lang
2020-12-25--2021-01-01,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,129313.0,https://open.spotify.com/track/3OC84eKMxRJ4x0Hcwl9i4i,Team Ear Music,320,M,Can
2020-12-25--2021-01-01,是但求其愛,Eason Chan,115204.0,https://open.spotify.com/track/4IkQXb1IdIziAJmO3FODo7,Eas Music Ltd,269,M,Can
2020-12-25--2021-01-01,一人之境 in C major,Terence Lam,112750.0,https://open.spotify.com/track/32QnXosZq7A11knnBAEqk7,Terence Lam Production & Co.,195,M,Can
2020-12-25--2021-01-01,時光倒流一句話,Terence Lam,104521.0,https://open.spotify.com/track/63QmxPL3QlchvXcHLsI6UM,Terence Lam Production & Co.,253,M,Can
2020-12-25--2021-01-01,隔離 - Studio Live Duet,"Jace Chan, Terence Lam",104129.0,https://open.spotify.com/track/4xL01OuFjqizPDclF8gDpl,Universal Music Ltd.,248,G,Can
2020-12-25--2021-01-01,銀河修理員,Dear Jane,96079.0,https://open.spotify.com/track/0pupuSkMBGpzsqG3fWcyPe,Warner Music Hong Kong Ltd.,232,G,Can
2020-12-25--2021-01-01,Afterglow,Ed Sheeran,91241.0,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq,"ylum Records UK release, a division of Atlantic Records UK, © 2020 Warner Music UK Limited",185,M,Eng
2020-12-25--2021-01-01,All I Want for Christmas Is You,Mariah Carey,89198.0,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn,Sony Music Entertainment,241,F,Eng
2020-12-25--2021-01-01,Last Christmas,Wham!,86615.0,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,Sony Music Entertainment (UK) Ltd.,262,G,Eng
2020-12-25--2021-01-01,Santa Tell Me,Ariana Grande,84550.0,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb,"Republic Records, a division of UMG Recordings, Inc.",204,F,Eng
2020-12-25--2021-01-01,未開始已經結束,Dear Jane,83958.0,https://open.spotify.com/track/3pciLZ7pj3WiwP8AmKdze8,Warner Music Hong Kong Ltd.,307,G,Can
2020-12-25--2021-01-01,Dynamite,BTS,77402.0,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc,BIGHIT MUSIC / HYBE,199,G,Other
2020-12-25--2021-01-01,下一位前度,Terence Lam,77399.0,https://open.spotify.com/track/0Q3jOuEpx8Esi2qZMQSghl,Terence Lam Production & Co.,275,M,Can
2020-12-25--2021-01-01,positions,Ariana Grande,73785.0,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0,"Republic Records, a division of UMG Recordings, Inc.",172,F,Eng
2020-12-25--2021-01-01,炎,LiSA,73121.0,https://open.spotify.com/track/0cSkn2l67csUljEy0EEBPn,Sony Music Labels Inc.,275,F,Other
2020-12-25--2021-01-01,東京人壽,Joey Yung,71283.0,https://open.spotify.com/track/1qc9E4zCJ5utXDQVIAZlkm,EEG Music,257,F,Can
2020-12-25--2021-01-01,How You Like That,BLACKPINK,67814.0,https://open.spotify.com/track/4SFknyjLcyTLJFPKD2m96o,"YG Entertainment, distributed through Interscope Records",182,G,Other
2020-12-25--2021-01-01,34+35,Ariana Grande,67677.0,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF,"Republic Records, a division of UMG Recordings, Inc.",173,F,Eng
2020-12-25--2021-01-01,willow,Taylor Swift,64821.0,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,214,F,Eng
2020-12-25--2021-01-01,呼吸有害,Karen Mok,64793.0,https://open.spotify.com/track/4t53NE3uBLkTwW9rUgiHC8,Mok-A-Bye Baby Music Limited,192,F,Can
2020-12-25--2021-01-01,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,64777.0,https://open.spotify.com/track/69zgyr5HVKdInjeKpq1qHa,"Rock Records Co., Ltd.",239,G,Man
2020-12-25--2021-01-01,Lovesick Girls,BLACKPINK,63581.0,https://open.spotify.com/track/4Ws314Ylb27BVsvlZOy30C,"YG Entertainment, distributed through Interscope Records",194,G,Other
2020-12-25--2021-01-01,Jingle Bell Rock,Bobby Helms,60614.0,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya,"UMG Recordings, Inc.",130,M,Eng
2020-12-25--2021-01-01,隔離,Jace Chan,60304.0,https://open.spotify.com/track/7egdaSVtPnuW7YG821w7jz,Universal Music Ltd.,271,F,Can
